Subject	km	DF	SF_norm	Speed_mps	Pattern
P61	1.0	0.4691363807488906	1.054762307569509	3.8383296776895417	sf_down
P61	1.5	0.4669159657713362	1.0577386411337564	3.8383296776895417	sf_down
P61	2.0	0.4684131729455327	1.0504094936336583	3.8383296776895417	sf_down
P61	2.5	0.4642319590951862	1.0437827522841516	3.8383296776895417	sf_down
P61	3.0	0.47289416860736827	1.0361729921319038	3.8383296776895417	sf_down
P61	3.5	0.4723861384101989	1.0414955117221447	3.8383296776895417	sf_down
P61	4.0	0.4688273322208602	1.012226648302674	3.8383296776895417	sf_down
P61	4.5	0.4741333847678943	1.0020382973769235	3.8383296776895417	sf_down
P61	5.0	0.4708347254443144	0.989874048458569	3.8383296776895417	sf_down
P61	5.5	0.4642007164186379	0.9911865679790094	3.8383296776895417	sf_down
P61	6.0	0.4703409326534666	0.9848211954126398	3.8383296776895417	sf_down
P61	6.5	0.4637027657289091	0.9640892236612922	3.8383296776895417	sf_down
P61	7.0	0.4728894302395905	0.947192298784885	3.8383296776895417	sf_down
P61	7.5	0.4682475491781229	0.935949492745552	3.8383296776895417	sf_down
P61	8.0	0.46757286691532784	0.9361162574123376	3.8383296776895417	sf_down
P61	8.5	0.4650925310110344	0.92497155018645	3.8383296776895417	sf_down
P61	9.0	0.4746098854264243	0.9112444866425129	3.8383296776895417	sf_down
P61	9.5	0.46772453132271014	0.8892192697291027	3.8383296776895417	sf_down
P61	10.0	0.4663555396222386	0.8838246432633325	3.8383296776895417	sf_down
P62	1.0	0.4292941850546158	1.0032182165934398	3.219965406448279	stable
P62	1.5	0.4310050291903586	0.9945431606057894	3.219965406448279	stable
P62	2.0	0.4205628089618875	0.995682353480465	3.219965406448279	stable
P62	2.5	0.4262502319793794	0.9973930329044799	3.219965406448279	stable
P62	3.0	0.4254967247897019	1.0087259371449229	3.219965406448279	stable
P62	3.5	0.42465419881994915	1.0058880570810573	3.219965406448279	stable
P62	4.0	0.4264728768050325	1.010272534025035	3.219965406448279	stable
P62	4.5	0.4353232946173379	1.0013306300218006	3.219965406448279	stable
P62	5.0	0.4235194324826997	1.0060169687211065	3.219965406448279	stable
P62	5.5	0.4326899798341233	1.0097533743442315	3.219965406448279	stable
P62	6.0	0.41943423920308687	1.002273878874731	3.219965406448279	stable
P62	6.5	0.426174162911237	1.008402853092952	3.219965406448279	stable
P62	7.0	0.4286623533866909	0.9994532436639596	3.219965406448279	stable
P62	7.5	0.43077969971796226	1.0018442204199722	3.219965406448279	stable
P62	8.0	0.43140472096013016	1.001694748040506	3.219965406448279	stable
P62	8.5	0.4318153242371655	0.9951819340277804	3.219965406448279	stable
P62	9.0	0.4261049626999237	1.0086444310387774	3.219965406448279	stable
P62	9.5	0.425536829097843	1.000993432470871	3.219965406448279	stable
P62	10.0	0.43213846746745166	1.0048486041423144	3.219965406448279	stable
P63	1.0	0.5295698291011985	0.9222784198371017	2.8436993643410697	df_up
P63	1.5	0.5316155012634044	0.9344239187339203	2.8436993643410697	df_up
P63	2.0	0.5334725596582216	0.9296109409996989	2.8436993643410697	df_up
P63	2.5	0.5365430781871712	0.9357082923630469	2.8436993643410697	df_up
P63	3.0	0.5451258410134615	0.9340216998363968	2.8436993643410697	df_up
P63	3.5	0.5403228337501348	0.9466611138027766	2.8436993643410697	df_up
P63	4.0	0.5447898667980628	0.931932037652425	2.8436993643410697	df_up
P63	4.5	0.5551015031434049	0.9256589027312344	2.8436993643410697	df_up
P63	5.0	0.5488332540586827	0.9352810877518598	2.8436993643410697	df_up
P63	5.5	0.5563883141297684	0.9356068561439834	2.8436993643410697	df_up
P63	6.0	0.5501896472573132	0.9447203832741328	2.8436993643410697	df_up
P63	6.5	0.5560533324422775	0.9405277726395259	2.8436993643410697	df_up
P63	7.0	0.554614723298522	0.9367018511454054	2.8436993643410697	df_up
P63	7.5	0.5600118669464973	0.9455533058019657	2.8436993643410697	df_up
P63	8.0	0.5683054974561784	0.9243367782376265	2.8436993643410697	df_up
P63	8.5	0.5579162340244018	0.9287288704102113	2.8436993643410697	df_up
P63	9.0	0.5712233358836735	0.9264342751409651	2.8436993643410697	df_up
P63	9.5	0.5727855902327269	0.9307284042469631	2.8436993643410697	df_up
P63	10.0	0.5712172021902499	0.9228333934917589	2.8436993643410697	df_up
P64	1.0	0.3661406996364773	1.0954296800606182	3.545464786370267	sf_down
P64	1.5	0.370726357508055	1.0832257979798587	3.545464786370267	sf_down
P64	2.0	0.3582290923443983	1.0772323192796998	3.545464786370267	sf_down
P64	2.5	0.351209354577859	1.0783969270245917	3.545464786370267	sf_down
