Subject	DF_start	DF_end	Delta_DF	Slope_DF	SF_start	SF_end	Delta_SF	Slope_SF
P61	0.4691363807488906	0.4663555396222386	-0.0027808411266520006	-7.841483883746418e-05	1.054762307569509	0.8838246432633325	-0.1709376643061764	-0.020253115824743144
P62	0.4292941850546158	0.4321384674674516	0.002844282412835797	0.00032373869538852146	1.0032182165934398	1.0048486041423144	0.0016303875488745678	0.0002468624756308887
P63	0.5295698291011985	0.5712172021902499	0.04164737308905131	0.004645861313875	0.9222784198371016	0.9228333934917587	0.000554973654657176	-0.00030895406986378745
P64	0.3661406996364773	0.3568084177853827	-0.009332281851094582	-0.0004274450367531459	1.0954296800606182	1.0740570673281715	-0.021372612732446727	-0.002096281605623764
P65	0.588459336383033	0.5922018452811963	0.0037425088981632992	-0.00028287195805756283	1.0792938467998687	0.9235042132360156	-0.1557896335638531	-0.015518551061185284
P66	0.5124908416159123	0.5105497069883841	-0.001941134627528207	-0.0007110378540563256	0.9798931528541334	0.9857499157537736	0.005856762899640211	-0.0005450609370215947
P67	0.5301851320681524	0.5928752147495165	0.06269008268136411	0.00651030416620118	0.9172612309050808	0.9284894938072	0.011228262902119202	0.00023471496354006438
P68	0.4839857565250064	0.4763511634981274	-0.007634593026879022	-0.00010553091567057376	0.8903986225698834	0.7878153120873356	-0.10258331048254787	-0.0125899186715034
P69	0.5269157552696231	0.6217105307974681	0.09479477552784499	0.011143330285065124	0.8840631491619394	0.8525009695911093	-0.03156217957083007	-0.00524071531416533
P70	0.596301660079176	0.6098222760142555	0.013520615935079583	0.00241353922499074	0.8020006651707212	0.8121229744869002	0.010122309316178968	0.0001993651966177958
P71	0.5098876625716919	0.4628035140221179	-0.047084148549574045	-0.005316980487398914	0.8398696741200004	0.8481852931621533	0.008315619042152944	0.0005616219082034677
P72	0.4935367105327039	0.6030622395225989	0.10952552898989493	0.01083606509645196	1.0434401974008602	1.0364208375340136	-0.007019359866846653	0.0004966063372576643
P73	0.5516963256144393	0.5558643363428615	0.004168010728422211	0.0004082730353567504	0.934585975738788	0.8990706994951106	-0.03551527624367734	-0.00381644150143473
P74	0.358655833699175	0.4216219299331966	0.0629660962340216	0.008368002195513945	0.8800177791285575	0.7102521386029322	-0.16976564052562526	-0.020230434767893126
P75	0.5474432343808089	0.55254430220104	0.00510106782023112	-9.948929902230247e-05	1.0444575366342783	1.041680646549085	-0.0027768900851932177	-0.00011848654048853681
P76	0.4630951394579992	0.5346644997826449	0.07156936032464567	0.008548374960969376	1.0835921985042745	1.0345849391237187	-0.04900725938055572	-0.0063417190451973485
P77	0.4527085014786265	0.455229116971877	0.0025206154932505	-0.00014442868112177584	0.8242970731716507	0.7712323586777101	-0.05306471449394057	-0.006305747346288915
P78	0.3888654017196944	0.433097336003266	0.04423193428357158	0.0031803594113667118	1.0427549812429502	0.8652899388572473	-0.17746504238570293	-0.01947535599095572
P79	0.5155117613300331	0.5073929239819066	-0.008118837348126462	-0.0006047368903975854	0.8909181806352564	0.8821192079619242	-0.008798972673332184	-0.0004582776568371372
P80	0.5750116087412722	0.645033516820341	0.07002190807906883	0.009256608935333895	0.8352913244970952	0.8281910046059281	-0.007100319891167106	-0.0003142060884526964
