Subject	DF_start	DF_end	Delta_DF	Slope_DF	SF_start	SF_end	Delta_SF	Slope_SF
P61	-0.3769956008823373	-0.6913076176831291	-0.7083523359287397	-0.6542438683286215	1.085391311540761	-0.2126140764258337	-1.865871768695757	-1.9765602946802017
P62	-0.9704921087798889	-1.1317058609693142	-0.5680676743297315	-0.5657032541773954	0.5388942026972253	1.0236379199526784	0.747997614412418	0.7874963934374998
P63	0.5232319074739812	0.6583371378387183	0.3996405735506668	0.3858820447414342	-0.31927138098255775	0.18585780464526241	0.7317084379278559	0.7125544389909916
P64	-1.9112377781409313	-2.101257592238729	-0.8717383733308756	-0.7310885195642679	1.5165678260508875	1.730597931494192	0.399573688264847	0.47156517760313177
P65	1.4004605921520836	0.9284245348969589	-0.5456668510146744	-0.6992584146714254	1.3454873770839038	0.19271018529802372	-1.6364262059388792	-1.338188623828251
P66	0.2688202402876786	-0.12249700806984427	-0.6874109394873745	-0.7935260715833681	0.2915898142457856	0.8285460432940197	0.8120140590099875	0.6807196362553152
P67	0.5323975710580947	0.9370912825832971	0.9244236069474051	0.7963693366473646	-0.3724662127071898	0.2436345065140225	0.8933755813017185	0.7858585179457964
P68	-0.15579663044382658	-0.5626567741633385	-0.8293998005806701	-0.6602139118364978	-0.6572774784252603	-1.193343235141586	-0.8305158569781022	-0.9433147451768454
P69	0.4836963466622899	1.3082224674688279	1.7250808618667817	1.8164050768091595	-0.7244494439218292	-0.5325833934928655	0.2452334352477007	0.04759433748382866
P70	1.5172812554302337	1.1552121076524948	-0.3018111512912182	-0.10559981955095435	-1.5945183382697992	-0.945042023129482	0.8766238234511053	0.7810922319403564
P71	0.23004281737574606	-0.7370247330261455	-1.8132302014391148	-1.8075989437424438	-1.19301152121953	-0.5766677513528399	0.8492580837254081	0.8299360927387667
P72	-0.013523902952727448	1.0682055928341423	2.0924503516238477	1.7487556688300316	0.9653484442400797	1.3461462586084083	0.6169808375610253	0.821169901815469
P73	0.8528321763292129	0.46073475041024303	-0.5350552831355687	-0.5470916500494815	-0.18878030839143217	-0.056876590092182745	0.1853563128571588	0.23963227528579623
P74	-2.0227336863975287	-1.2670612366305598	0.9313070944938532	1.2053716465224928	-0.7673405491015074	-1.985646076406462	-1.8481192528428776	-1.973502158424578
P75	0.789477364905202	0.41800353141248375	-0.5117858211480927	-0.6588837520766594	0.9761348009154589	1.3998748702670036	0.6812410627407127	0.738235590489055
P76	-0.46698701694341954	0.1878776591652961	1.1458634474570792	1.2450836322950825	1.3910607247706643	1.3273926741248805	-0.0190052781777809	-0.10085639167358064
P77	-0.621708243074026	-0.834512651916116	-0.5761395867003799	-0.6687778849190381	-1.3581202899317066	-1.362737040381534	-0.08046310643860294	-0.09600624922494212
P78	-1.5727265315998769	-1.1193645356564768	0.46409680993551594	0.06322806449577272	0.9580834281705446	-0.40194489288474144	-1.9647412496375531	-1.8716932436604345
P79	0.3138204032989552	-0.1631270679475381	-0.8414763443686532	-0.770122192700824	-0.6517688551238136	-0.2300349886216316	0.5900252372708458	0.6924208147880878
P80	1.200140824241067	1.6084060140387098	1.1072716168799432	1.4010128128596389	-1.2415535516407128	-0.7809081262693265	0.6157545449387695	0.7118462978947385
